date,sleep_hours,sleep_quality,morning_mood,energy,study_hours,phone_usage,productivity,stress,is_weekend
2026-03-10,6.5,2,2,2,4,6.2,2,2,0
2026-03-11,7,3,2,2,4.5,4.5,3,2,0
2026-03-12,5.5,2,1,2,3,4.1,2,2,0
2026-03-13,9,1,3,1,0,4.2,1,1,0
2026-03-14,7,3,3,3,0,6.8,2,1,1
2026-03-15,7,3,3,3,0,4.8,1,1,1
2026-03-16,8,2,2,2,3,5.7,3,2,0
2026-03-17,7,3,3,3,6,5,3,2,0
2026-03-18,6,2,2,2,5,4.1,2,2,0
2026-03-19,6.5,1,1,2,3,3.2,2,2,0
2026-03-20,8,1,2,2,0,7,1,1,0
2026-03-21,8.5,3,3,2,0,8,1,1,1
2026-03-22,7.5,3,4,3,0,7,2,1,1
2026-03-23,8,2,2,2,4,5,2,2,0
2026-03-24,7,3,3,2,5,7.2,2,2,0
2026-03-25,6,1,2,2,6,4.5,2,3,0
2026-03-26,6.5,2,1,2,6,3.2,3,3,0
2026-03-27,7,1,3,2,2,4.8,2,2,0
2026-03-28,7.5,3,4,2,0,6.4,2,2,1
2026-03-29,8,3,5,3,3,4.9,3,3,1
2026-03-30,9,1,1,2,4,6.4,1,2,0
2026-03-31,6,3,3,2,5,6.2,2,2,0
2026-04-01,7,3,2,3,4,5.1,2,2,0
2026-04-02,5,1,1,2,3,4,2,3,0
2026-04-03,9,1,2,2,3,4.5,2,3,0
2026-04-04,6,2,3,2,8,5,3,5,1
2026-04-05,5,3,1,3,7,7.8,3,5,1
2026-04-06,7,2,2,2,5,5.4,2,4,0
2026-04-07,8,2,2,3,7,4.7,3,4,0
2026-04-08,4.5,3,2,2,5,6.7,2,5,0
2026-04-09,9,3,2,1,0,6,1,2,0
2026-04-10,6.5,3,5,3,0,7.9,5,1,0
2026-04-11,8.5,4,5,4,0,5.2,5,1,1
2026-04-12,8,5,5,5,0,6,5,1,1
2026-04-13,7,3,3,3,5,8.4,3,2,0
2026-04-14,7.5,4,2,3,4.5,8.5,3,4,0
